Experiment_ID,Algorithm,Configuration,Feature_Set,Scaler,K,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz,Smallest_Cluster_Percentage,Largest_Cluster_Percentage,Noise_Percentage,BIC,Min_Samples,Distance_Quantile,Epsilon
KMeans_Enhanced_Raw_StandardScaler_k10,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,10,4799.947887768387,0.3137650106283169,0.9466010117340069,1688.5899190523853,0.0692201199815413,37.86340562990309,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k2,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,2,94474.66438958551,0.9748800864961855,0.37859204598885926,6069.594359121714,0.18458698661744347,99.81541301338255,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k3,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,3,57323.6370119553,0.9229266314968968,0.5435816330850529,6403.916942588142,0.1384402399630826,99.12321181356715,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k4,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,4,43864.657006601825,0.654084001805898,0.7167906549984888,6020.810615057905,0.09229349330872173,91.11675126903553,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k5,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,5,33416.75069852405,0.6265139616888866,0.6911334022196585,6264.414355522229,0.046146746654360866,89.94000922934933,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k6,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,6,28309.4669397142,0.46574570640512625,0.8028714623130462,6070.50689464122,0.046146746654360866,76.32671896631288,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k7,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,7,25466.65603226809,0.46069797481213687,0.7805364403494244,5702.825225355931,0.046146746654360866,75.79603137978772,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k8,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,8,22217.369343702638,0.3766743997516286,0.8222109031327489,5692.194365461181,0.046146746654360866,65.75911398246423,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k9,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,9,19497.860243104486,0.37551263067775437,0.7997684221146784,5749.332167283189,0.046146746654360866,65.55145362251962,0.0,,,,
KMeans_Enhanced_Raw_RobustScaler_k10,KMeans,Enhanced_Raw_RobustScaler,Enhanced_Raw,RobustScaler,10,17464.6453475726,0.43298941231462995,0.8052989757320196,5759.938404837878,0.046146746654360866,69.2201199815413,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k2,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,2,13019.212435593548,0.34284494752142564,1.1100734974488664,2878.4649069008847,43.862482694970005,56.137517305029995,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k3,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,3,10023.520942197572,0.2743267584204501,1.1733579761637003,2516.129090288309,27.157360406091367,43.30872173511767,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k4,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,4,8665.419026843398,0.24711054888877243,1.2793156630052618,2166.082530053838,14.143977849561606,32.34886940470697,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k5,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,5,7585.632249770638,0.24977667775199391,1.2060708359600505,2009.4354276884028,13.474850023073373,28.587909552376555,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k6,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,6,6888.178805171516,0.22172460977475525,1.2387458753514362,1857.5523721506931,9.321642824180895,21.919704660821413,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k7,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,7,6362.6742073704145,0.220124178352186,1.1999482271965494,1734.9930374781648,8.606368251038301,19.935394554683896,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k8,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,8,5953.846525026669,0.21894216190720242,1.1816187646086826,1631.323156573301,6.96815874480849,17.281956622058146,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k9,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,9,5582.63360154683,0.22214589451270939,1.2094055684157612,1557.911005475964,4.891555145362252,17.766497461928935,0.0,,,,
KMeans_Enhanced_Log_StandardScaler_k10,KMeans,Enhanced_Log_StandardScaler,Enhanced_Log,StandardScaler,10,5246.040839901695,0.21615556564638347,1.1727844835173082,1504.153963537408,4.568527918781726,15.089986155976003,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k2,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,2,6669.250104996017,0.3345871053066436,1.1231446724937086,2824.5002306991755,48.961698200276885,51.038301799723115,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k3,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,3,5051.447178163962,0.2807251765842102,1.141420434994284,2557.650385725896,26.765113059529305,42.801107521919704,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k4,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,4,4377.7265451492885,0.24329260012505027,1.2594717714848895,2189.195651009456,15.897554222427319,35.809875403784034,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k5,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,5,3792.718654961153,0.24916453236414093,1.1634500545038384,2061.633088640928,14.974619289340103,27.503461005999075,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k6,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,6,3431.586483256822,0.2305473249783824,1.1862674669216469,1913.5484784647201,8.790955237655746,21.73511767420397,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k7,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,7,3207.872020507497,0.22098462637153124,1.1995926042107414,1755.734170712839,8.306414397784955,19.220119981541302,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k8,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,8,2985.610147546529,0.22569277963364806,1.169147872721255,1662.5833875931219,4.822335025380711,18.874019381633595,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k9,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,9,2780.7239758524283,0.22033353654202684,1.210172094887189,1601.4191256384636,4.77618827872635,18.22796492847254,0.0,,,,
KMeans_Enhanced_Log_RobustScaler_k10,KMeans,Enhanced_Log_RobustScaler,Enhanced_Log,RobustScaler,10,2610.8830334448394,0.21314959042806136,1.1817160385051995,1546.9928319178266,4.683894785417627,14.213197969543149,0.0,,,,
Agglomerative_Core_Log_StandardScaler_k3,Agglomerative,Core_Log_StandardScaler,,,3,,0.28830608387815043,1.1703326540327925,3288.2356888266345,25.63451776649746,45.13151822796493,0.0,,,,
GaussianMixture_Core_Log_StandardScaler_k3,GaussianMixture,Core_Log_StandardScaler,,,3,,0.2529462943208005,1.2117265121898388,2741.6788374215607,19.473927088140286,45.80064605445316,0.0,12426.064347937652,,,
Agglomerative_Core_Log_StandardScaler_k4,Agglomerative,Core_Log_StandardScaler,,,4,,0.26617398092158046,1.3046541910343459,2719.5089859157506,9.967697277341948,45.13151822796493,0.0,,,,
GaussianMixture_Core_Log_StandardScaler_k4,GaussianMixture,Core_Log_StandardScaler,,,4,,0.1772492585338112,1.7159636341264533,2166.6601881482347,19.17397323488694,34.72542685740655,0.0,3673.431571843671,,,
Agglomerative_Core_Log_StandardScaler_k5,Agglomerative,Core_Log_StandardScaler,,,5,,0.22929690266212827,1.3071287036671686,2505.378112876587,9.967697277341948,29.23396400553761,0.0,,,,
GaussianMixture_Core_Log_StandardScaler_k5,GaussianMixture,Core_Log_StandardScaler,,,5,,0.1514022151226741,1.772327360037928,1895.063186388603,4.383940932164283,34.702353484079374,0.0,3365.0505711233154,,,
Agglomerative_Core_Log_StandardScaler_k6,Agglomerative,Core_Log_StandardScaler,,,6,,0.23192284400178154,1.2050490267520797,2428.2722188215234,9.967697277341948,28.472542685740653,0.0,,,,
GaussianMixture_Core_Log_StandardScaler_k6,GaussianMixture,Core_Log_StandardScaler,,,6,,0.12087707083028039,2.262233520260932,1483.8246438679732,2.9995385325334563,34.702353484079374,0.0,-1555.5756527010858,,,
Agglomerative_Core_Log_StandardScaler_k7,Agglomerative,Core_Log_StandardScaler,,,7,,0.22849174893983298,1.1295533788965828,2389.5934216471805,9.967697277341948,17.60498384863867,0.0,,,,
GaussianMixture_Core_Log_StandardScaler_k7,GaussianMixture,Core_Log_StandardScaler,,,7,,0.10631420000147158,2.5632718466320124,1276.4579227830757,1.868943239501615,34.702353484079374,0.0,-5262.36655097029,,,
Agglomerative_Core_Log_StandardScaler_k8,Agglomerative,Core_Log_StandardScaler,,,8,,0.2293844641096655,1.12468409452727,2293.548979991003,1.430549146285187,17.60498384863867,0.0,,,,
